position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_clean_mask_logit_gap,mean_effect_rank
top_hidden_delta,corrupt,drop_matched_topk,union_mask,144,144,-0.00043402777777777775,-0.005642361111111111,0.004991319444444444,0.08333333333333333,-0.0008253886677985231,3.0641682942708335,0.2916666666666667
top_hidden_delta,corrupt,evidence_attribution_topk,union_mask,144,144,-0.0018446180555555555,-0.009442816840277778,0.005319552951388874,0.11805555555555555,-0.001367961003272231,3.0641682942708335,0.2708333333333333
top_hidden_delta,corrupt,random_active_topk,union_mask,144,144,0.0008680555555555555,-0.003689236111111111,0.005425347222222222,0.08333333333333333,-6.366893297525885e-05,3.0641682942708335,0.5069444444444444
top_hidden_delta,restore,activation_matched_topk,union_mask,144,144,-0.0007459852430555555,-0.007298109266493056,0.0058197021484374944,0.1388888888888889,-0.004617657115237527,3.0641682942708335,-6.527777777777778
top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.001369900173611111,-0.006768120659722222,0.003811306423611111,0.1111111111111111,0.006169312734417041,3.0641682942708335,-2.0625
top_hidden_delta,restore,drop_matched_topk,union_mask,144,144,0.0015733506944444445,-0.003120252821180556,0.006106228298611096,0.125,0.007009767707628124,3.0641682942708335,-1.5972222222222223
top_hidden_delta,restore,evidence_attribution_topk,union_mask,144,144,0.003960503472222222,-0.0016554090711805554,0.009876166449652767,0.1388888888888889,-0.005264015017948702,3.0641682942708335,-4.388888888888889
top_hidden_delta,restore,random_active_topk,union_mask,144,144,-0.0009629991319444445,-0.005859375,0.0034586588541666665,0.1111111111111111,-0.0035453900867906496,3.0641682942708335,0.8680555555555556
top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,union_mask,144,144,-0.12217881944444445,-0.17601453993055555,-0.06987847222222222,0.3263888888888889,-0.1325786354611077,3.0641682942708335,0.7152777777777778
top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.0018446180555555555,-0.02908257378472222,0.022677951388888888,0.3472222222222222,0.029127324932469452,3.0641682942708335,0.7222222222222222
top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,union_mask,144,144,-0.001736111111111111,-0.016710069444444444,0.013020833333333334,0.2847222222222222,-0.01115684742166168,3.0641682942708335,-0.3958333333333333
top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,union_mask,144,144,0.008897569444444444,-0.015630425347222223,0.03428819444444445,0.3958333333333333,0.005605983566661539,3.0641682942708335,-0.08333333333333333
top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,union_mask,144,144,-0.007052951388888889,-0.019748263888888888,0.00499403211805554,0.2569444444444444,-0.017129292275206855,3.0641682942708335,0.3819444444444444
top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,union_mask,144,144,-0.07588704427083333,-0.12118225097656249,-0.032303873697916693,0.3194444444444444,-0.09557032772603369,3.0641682942708335,76.95833333333333
top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.005438910590277778,-0.016710069444444444,0.02703213161892361,0.3680555555555556,0.023627578931274606,3.0641682942708335,5.097222222222222
top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,union_mask,144,144,0.003119574652777778,-0.012614610460069444,0.01858317057291666,0.3611111111111111,-0.008867291013331372,3.0641682942708335,7.430555555555555
top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,union_mask,144,144,0.05381944444444445,0.024518500434027778,0.08659193250868054,0.4375,0.01245210577877201,3.0641682942708335,10.256944444444445
top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,union_mask,144,144,0.006456163194444444,-0.006863064236111111,0.01945190429687499,0.3541666666666667,-0.017938785420959127,3.0641682942708335,-0.4097222222222222
