position_group,direction,feature_group,mask_condition,n_pairs,mean_plt,mean_clt,mean_clt_minus_plt,ci95_low_clt_minus_plt,ci95_high_clt_minus_plt,plt_positive_frac,clt_positive_frac,same_positive_frac,sign_agreement_frac,kind,mask_variant,intervention
top_hidden_delta,corrupt,activation_matched_topk,union_mask,144,-0.0037977430555555555,0.00010850694444444444,0.00390625,-0.0028211805555555555,0.010633680555555556,0.06944444444444445,0.1111111111111111,0.027777777777777776,0.7569444444444444,feature,,
top_hidden_delta,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,0.0007595486111111111,-0.0015190972222222222,-0.0022786458333333335,-0.00824924045138889,0.0032552083333333335,0.05555555555555555,0.1111111111111111,0.020833333333333332,0.7777777777777778,feature,,
top_hidden_delta,corrupt,drop_matched_topk,union_mask,144,-0.0013020833333333333,-0.0048828125,-0.0035807291666666665,-0.009768337673611112,0.0030381944444444445,0.0763888888888889,0.11805555555555555,0.027777777777777776,0.7083333333333334,feature,,
top_hidden_delta,corrupt,evidence_attribution_topk,union_mask,144,-0.0035807291666666665,-0.00390625,-0.0003255208333333333,-0.007489691840277778,0.007595486111111111,0.09722222222222222,0.1111111111111111,0.013888888888888888,0.6944444444444444,feature,,
top_hidden_delta,corrupt,random_active_topk,union_mask,144,0.001736111111111111,-0.006510416666666667,-0.008246527777777778,-0.013671875,-0.0030381944444444445,0.08333333333333333,0.0625,0.027777777777777776,0.7986111111111112,feature,,
top_hidden_delta,restore,activation_matched_topk,union_mask,144,0.0009901258680555555,0.005099826388888889,0.004109700520833333,-0.0014112684461805554,0.009847005208333334,0.13194444444444445,0.1527777777777778,0.0763888888888889,0.6944444444444444,feature,,
top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,union_mask,144,-0.00017632378472222222,0.002102322048611111,0.0022786458333333335,-0.0025770399305555555,0.007378472222222222,0.09722222222222222,0.16666666666666666,0.0625,0.7430555555555556,feature,,
top_hidden_delta,restore,drop_matched_topk,union_mask,144,0.0018988715277777778,0.005927191840277778,0.0040283203125,-0.0010179307725694444,0.00954996744791666,0.125,0.1388888888888889,0.06944444444444445,0.7916666666666666,feature,,
top_hidden_delta,restore,evidence_attribution_topk,union_mask,144,0.004611545138888889,0.0020345052083333335,-0.0025770399305555555,-0.00732421875,0.002251858181423609,0.1388888888888889,0.14583333333333334,0.06944444444444445,0.7569444444444444,feature,,
top_hidden_delta,restore,random_active_topk,union_mask,144,-0.0005289713541666666,-0.002373589409722222,-0.0018446180555555555,-0.0064697265625,0.0025773790147569425,0.10416666666666667,0.10416666666666667,0.0625,0.8055555555555556,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,union_mask,144,-0.130859375,0.04372829861111111,0.1745876736111111,0.1184841579861111,0.2319905598958333,0.3194444444444444,0.4236111111111111,0.18055555555555555,0.375,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,-0.0020616319444444445,0.019748263888888888,0.021809895833333332,-0.020944552951388886,0.06608615451388887,0.3402777777777778,0.4236111111111111,0.125,0.3263888888888889,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,union_mask,144,-0.0028211805555555555,0.0006510416666666666,0.003472222222222222,-0.02561306423611111,0.032774522569444416,0.2777777777777778,0.3402777777777778,0.10416666666666667,0.375,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,union_mask,144,0.009114583333333334,0.2801649305555556,0.2710503472222222,0.176416015625,0.3782660590277777,0.3958333333333333,0.6736111111111112,0.24305555555555555,0.3402777777777778,feature,,
top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,union_mask,144,-0.006618923611111111,0.012152777777777778,0.018771701388888888,-0.001736111111111111,0.03895399305555555,0.24305555555555555,0.3333333333333333,0.09027777777777778,0.3888888888888889,feature,,
