position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_effect_rank
top_hidden_delta,corrupt,drop_matched_topk,union_mask,144,144,-0.0048828125,-0.012152777777777778,0.0020616319444444445,0.13194444444444445,0.0001589575040956075,0.3888888888888889
top_hidden_delta,corrupt,evidence_attribution_topk,union_mask,144,144,-0.0030381944444444445,-0.010416666666666666,0.004123263888888889,0.125,-0.011276663887175678,0.006944444444444444
top_hidden_delta,corrupt,random_active_topk,union_mask,144,144,-0.006076388888888889,-0.012586805555555556,0.0,0.06944444444444445,-0.010150826816752903,0.05555555555555555
top_hidden_delta,restore,activation_matched_topk,union_mask,144,144,0.0035807291666666665,-0.0019266764322916667,0.009141710069444444,0.1527777777777778,0.007073565818272712,-0.6666666666666666
top_hidden_delta,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.0023193359375,-0.002143690321180556,0.006890869140624996,0.1736111111111111,0.0007112046865974462,-0.034722222222222224
top_hidden_delta,restore,drop_matched_topk,union_mask,144,144,0.004082573784722222,-0.00146484375,0.010539754231770827,0.1388888888888889,0.0024483585170937245,-3.986111111111111
top_hidden_delta,restore,evidence_attribution_topk,union_mask,144,144,0.0013834635416666667,-0.003729926215277778,0.006700303819444444,0.14583333333333334,0.00025485692281701267,-4.534722222222222
top_hidden_delta,restore,random_active_topk,union_mask,144,144,-0.002265082465277778,-0.007759941948784722,0.0033101399739583295,0.11805555555555555,-0.0016439010579425558,-2.5
top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,union_mask,144,144,0.03331163194444445,0.007158745659722222,0.060443793402777744,0.4027777777777778,0.01940610693919024,0.6319444444444444
top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.021918402777777776,-0.01585286458333333,0.06295030381944436,0.4444444444444444,0.006393525225427222,3.486111111111111
top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,union_mask,144,144,0.007378472222222222,-0.02041558159722222,0.036897786458333304,0.375,0.02895005785681909,2.1875
top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,union_mask,144,144,0.3046875,0.2078830295138889,0.4132052951388888,0.6944444444444444,0.1352500666916255,7.222222222222222
top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,union_mask,144,144,0.009982638888888888,-0.006732855902777778,0.02756618923611108,0.3402777777777778,0.010360417241407436,1.1805555555555556
top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,union_mask,144,144,0.0438232421875,0.014386325412326388,0.07357211642795136,0.4513888888888889,0.007961223844035628,21.53472222222222
top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.03647189670138889,-0.009838189019097223,0.0860198974609375,0.4583333333333333,0.008813375973924202,198.58333333333334
top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,union_mask,144,144,-0.007405598958333333,-0.04226413302951389,0.028540039062499984,0.4097222222222222,0.01622609613985865,27.98611111111111
top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,union_mask,144,144,0.4728054470486111,0.3303378634982639,0.6262115478515624,0.6805555555555556,0.16878945263820844,470.6666666666667
top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,union_mask,144,144,0.0028211805555555555,-0.01551852756076389,0.021511501736111112,0.3472222222222222,-0.010212125718729424,-10.027777777777779
