position_group,direction,feature_group,mask_condition,n_rows,n_prompt_runs,mean_effect_logit_signed,ci95_low_effect_logit_signed,ci95_high_effect_logit_signed,positive_frac_effect_logit_signed,mean_gap_closure,mean_clean_mask_logit_gap,mean_effect_rank
top_hidden_delta,restore,evidence_attribution_topk,union_mask,144,144,0.004611545138888889,-0.0008416069878472223,0.010173204210069441,0.1388888888888889,-0.0055821584130151735,3.1825493706597223,-4.805555555555555
top_hidden_delta,restore,random_active_topk,union_mask,144,144,-0.0005289713541666666,-0.0046257866753472215,0.004151068793402774,0.10416666666666667,-0.003908452972708091,3.1825493706597223,0.8472222222222222
top_hidden_delta_plus_answer_adjacent,corrupt,activation_matched_topk,union_mask,144,144,-0.130859375,-0.1870822482638889,-0.07877604166666667,0.3194444444444444,-0.13559376664399483,3.1825493706597223,0.5694444444444444
top_hidden_delta_plus_answer_adjacent,corrupt,attribution_matched_mask_insensitive_topk,union_mask,144,144,-0.0020616319444444445,-0.0319091796875,0.021812608506944428,0.3402777777777778,0.02813326540604582,3.1825493706597223,0.7638888888888888
top_hidden_delta_plus_answer_adjacent,corrupt,drop_matched_topk,union_mask,144,144,-0.0028211805555555555,-0.017578125,0.012375217013888858,0.2777777777777778,-0.013087533016740689,3.1825493706597223,-0.5902777777777778
top_hidden_delta_plus_answer_adjacent,corrupt,evidence_attribution_topk,union_mask,144,144,0.009114583333333334,-0.017583550347222223,0.03386501736111105,0.3958333333333333,0.005072792186441007,3.1825493706597223,0.2013888888888889
top_hidden_delta_plus_answer_adjacent,corrupt,random_active_topk,union_mask,144,144,-0.006618923611111111,-0.018663194444444444,0.005862087673611096,0.24305555555555555,-0.01809316277406427,3.1825493706597223,0.3194444444444444
top_hidden_delta_plus_answer_adjacent,restore,activation_matched_topk,union_mask,144,144,-0.07957628038194445,-0.12674018012152777,-0.03846028645833336,0.3125,-0.09733761557345873,3.1825493706597223,72.29861111111111
top_hidden_delta_plus_answer_adjacent,restore,attribution_matched_mask_insensitive_topk,union_mask,144,144,0.005655924479166667,-0.0169830322265625,0.027276950412326386,0.3541666666666667,0.023026279646376158,3.1825493706597223,6.833333333333333
top_hidden_delta_plus_answer_adjacent,restore,drop_matched_topk,union_mask,144,144,0.0008409288194444445,-0.015165201822916667,0.015601264105902759,0.3472222222222222,-0.009508858432727207,3.1825493706597223,-0.5972222222222222
top_hidden_delta_plus_answer_adjacent,restore,evidence_attribution_topk,union_mask,144,144,0.057183159722222224,0.0274169921875,0.08971557617187496,0.4444444444444444,0.013398924473188098,3.1825493706597223,10.930555555555555
top_hidden_delta_plus_answer_adjacent,restore,random_active_topk,union_mask,144,144,0.006618923611111111,-0.007651095920138889,0.020454915364583326,0.3472222222222222,-0.017900220586165732,3.1825493706597223,-0.2013888888888889
